ProductID,ISBN,Title,PublicationYear,Genre,Author
158,1264268963,"Mike Meyers' CompTIA Network+ Certification Passport, Seventh Edition (Exam N10-008) (Mike Meyers' Certification Passport)",7-Jun-22,textbook,Jonathan Weissman
1,1098119444,Rust Atomics and Locks,2023,textbook,Mara Bos
22,1804619620,Terraform for Google Cloud Essential Guide,2023,textbook,Bernd Nordhausen
63,1837630518,Mastering Linux Security and Hardening,2023,textbook,Donald A. Tevault
104,1803242396,Microsoft Cybersecurity Architect Exam Ref SC-100,2023,textbook,Dwayne Natwick
117,1718502702,"Python Crash Course, 3rd Edition",2023,textbook,Eric Matthes
145,645127965,Learning Microsoft Intune,2023,textbook,Scott Duffey
188,1098135121,Learning eBPF,2023,textbook,Liz Rice
198,1804614017,Transitioning to Java,2023,textbook,Ken Fogel
2,1119865905,"The Official ACT Prep Guide 2022-2023, (Book + Online Course)",2022,textbook,ACT
8,1803362812,The Unofficial Zelda Cookbook,2022,textbook,Thibaud Villanova
18,109811020X,Kubernetes: Up and Running,2022,textbook,Brendan Burns
26,1803238011,Event-Driven Architecture in Golang,2022,textbook,Michael Stack
41,168050696X,Powerful Command-Line Applications in Go,2022,textbook,Ricardo Gerardi
52,180323654X,Mastering Windows Security and Hardening,2022,textbook,Mark Dunkerley
53,1316519333,The Principles of Deep Learning Theory,2022,textbook,Daniel A. Roberts
54,149322302X,Python 3,2022,textbook,Johannes Ernesti
55,1840789336,Windows 11 for Seniors in easy steps,2022,textbook,Michael Price
61,1098108302,Fundamentals of Data Engineering,2022,textbook,Joe Reis
62,1803239867,Elevating Game Experiences with Unreal Engine 5,2022,textbook,Goncalo Marques
65,1838430210,"Understanding Distributed Systems, Second Edition",2022,textbook,Roberto Vitillo
71,1803240636,Microsoft Certified Azure Data Fundamentals (Exam DP-900) Certification Guide,2022,textbook,Marcelo Leite
79,1803232579,Functional Python Programming,2022,textbook,Steven F. Lott
86,1803241438,Learn Java 17 Programming,2022,textbook,Nick Samoylov
94,1647824192,Power and Prediction,2022,textbook,Ajay Agrawal
103,1801810214,An Ethical Guide to Cyber Anonymity,2022,textbook,Kushantha Gunawardana
108,593450957,"Princeton Review AP World History: Modern Prep, 2023",2022,textbook,The Princeton Review
112,1098118731,The Staff Engineer's Path,2022,textbook,Tanya Reilly
122,1804613878,Clean Code in PHP,2022,textbook,Carsten Windler
123,1098121953,C# 10 in a Nutshell,2022,textbook,Joseph Albahari
124,1801072329,Learning Tableau 2022,2022,textbook,Joshua N. Milligan
143,1801812446,"Unreal Engine 5 Character Creation, Animation, and Cinematics",2022,textbook,Henk Venter
149,1801073872,Sculpting the Blender Way,2022,textbook,Xury Greer
166,1801813094,Certified Ethical Hacker (CEH) v12 312-50 Exam Guide,2022,textbook,Dale Meredith
170,63046067,Build,2022,textbook,Tony Fadell
172,1956630198,Securing Microsoft 365,2022,textbook,Joe Stocker
175,981166045X,Geometry of Deep Learning,2022,textbook,Jong Chul Ye
177,1617299596,100 Go Mistakes and How to Avoid Them,2022,textbook,Teiva Harsanyi
190,1119705150,MCA Microsoft Certified Associate Azure Administrator Study Guide,2022,textbook,Rithin Skaria
4,1484274369,Learn to Program with Assembly,2021,textbook,Jonathan Bartlett
15,1119787335,The Official ACT Mathematics Guide,2021,textbook,ACT
28,1119787602,Python All-in-One For Dummies (For Dummies (Computer/Tech)),2021,textbook,John C. Shovic
32,1119658810,AWS Certified Security Study Guide,2021,textbook,Marcello Zillo Neto
33,1098117816,Software Architecture,2021,textbook,Neal Ford
49,1737384426,Ultimate Go Notebook,2021,textbook,William Kennedy
82,1492052590,Programming Rust,2021,textbook,Jim Blandy
92,648098737,Raspberry Pi Operating System Assembly Language,2021,textbook,Bruce Smith
102,1736526723,LFM,2021,textbook,Tim Bryant
105,1718501544,Bug Bounty Bootcamp,2021,textbook,Vickie Li
118,1801075271,Hands-On Microsoft Teams,2021,textbook,Joao Ferreira
130,1801071101,Expert Python Programming,2021,textbook,Michal Jaworski
135,1119846471,Windows 11 For Dummies,2021,textbook,Andy Rathbone
139,1800562659,Microsoft Azure Security Technologies Certification and Beyond,2021,textbook,David Okeyode
142,1617296864,"Deep Learning with Python, Second Edition",2021,textbook,Francois Chollet
160,1838556370,Practical Threat Intelligence and Data-Driven Threat Hunting,2021,textbook,Valentina Costa-Gazcn
163,1800569009,AWS Certified Machine Learning Specialty,2021,textbook,Somanath Nanda
165,578973839,Ace the Data Science Interview,2021,textbook,Nick Singh
180,1636100007,HTML and CSS QuickStart Guide,2021,textbook,David DuRocher
182,1119830729,Excel All-in-One For Dummies (For Dummies (Computer/Tech)),2021,textbook,Paul McFedries
185,1800560419,Data Engineering with AWS,2021,textbook,Gareth Eagar
189,1492077216,Learning Go,2021,textbook,Jon Bodner
194,1718501129,"Black Hat Python, 2nd Edition",2021,textbook,Justin Seitz
29,1838987339,Unity 2020 Mobile Game Development,2020,textbook,John P. Doran
95,1492043451,Fundamentals of Software Architecture,2020,textbook,Mark Richards
99,1491952024,JavaScript,2020,textbook,David Flanagan
126,173543115X,Hypothesis Testing,2020,textbook,Jim Frost
128,149207294X,Practical Statistics for Data Scientists:,2020,textbook,Peter Bruce
136,1492082791,Software Engineering at Google,2020,textbook,Titus Winters
137,1800564244,CompTIA Security+,2020,textbook,Ian Neil
153,1492045527,Deep Learning for Coders with Fastai and PyTorch:,2020,textbook,Jeremy Howard
173,1423244230,Python Standard Library,2020,textbook,Berajah Jayne
193,1951204042,A Programmer's Guide to Computer Science Vol. 2,2020,textbook,William M. Springer II
69,1617293709,Grokking Deep Learning,2019,textbook,Andrew Trask
162,1672429730,Kali Linux Hacking,2019,textbook,Ethem Mining
178,1945051752,SQL QuickStart Guide,2019,textbook,Walter Shields
183,1484250753,Beginning x64 Assembly Programming,2019,textbook,Jo Van Hoey
192,1492050202,Linux Observability with BPF,2019,textbook,David Calavera
10,1789347394,Mastering Windows Group Policy,2018,textbook,Jordan Krause
16,1593278551,Linux Basics for Hackers,2018,textbook,OccupyTheWeb
67,1544511817,YouTube Secrets:,2018,textbook,Sean Cannell
155,1727521900,Computer Programming: The Bible,2018,textbook,CyberPunk Architects
181,1788297237,Mastering Microsoft Power BI,2018,textbook,Brett Powell
184,1484240626,Modern X86 Assembly Language Programming,2018,textbook,Daniel Kusswurm
11,1549776673,Python,2017,textbook,Timothy C. Needham
23,1546488332,Python (2nd Edition),2017,textbook,Jamie Chan
36,154101636X,Blue Team Field Manual (BTFM) (RTFM),2017,textbook,Alan J White
